"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
1.02,,-1.77991188946,447.282867432
1.0225,,-1.63676485972,447.470855713
1.025,,-1.45586476719,447.09487915
1.0275,,-1.23760487295,448.034820557
1.03,,-1.02563715584,466.469421387
1.0325,,-0.9509175524,476.35055542
1.035,,-0.913557750682,479.69909668
1.0375,,-0.932041021006,493.304748535
1.04,,-0.938333198137,544.343566895
1.0425,,-1.18136853984,739.780883789
1.045,,-1.32490883065,764.748077393
1.0475,,-1.25648140434,764.748077393
1.05,,-1.33749318491,764.748077393
1.0525,,-1.49322456891,764.748077393
1.055,,-1.6115961512,764.748077393
1.0575,,-1.30603229925,764.748077393
1.06,,-1.02563715584,764.748077393
1.0625,,-0.907265573551,764.748077393
1.065,,-1.00676062444,764.748077393
1.0675,,-1.01305280157,764.748077393
1.07,,-0.944625375269,764.748077393
1.0725,,-1.25018922721,646.068725586
1.075,,-1.49951674604,469.26574707
1.0775,,-1.54946090202,439.645843506
1.08,,-1.71777664029,447.09487915
1.0825,,-1.61788832833,445.97869873
1.085,,-1.21912160263,439.269866943
1.0875,,-1.05670478042,441.701965332
1.09,,-1.20653724836,467.409362793
1.0925,,-1.75513644201,473.178253174
1.095,,-1.30603229925,483.247375488
1.0975,,-1.43108931974,521.80847168
1.1,,-1.25648140434,737.912750244
1.1025,,-1.05041260329,764.748077393
1.105,,-1.1255254678,764.748077393
1.1075,,-1.16917744665,764.748077393
1.11,,-1.38743734089,764.748077393
1.1125,,-1.38743734089,764.748077393
1.115,,-1.25018922721,764.748077393
1.1175,,-1.16917744665,764.748077393
1.12,,-1.08816566608,764.748077393
1.1225,,-1.39962843408,764.748077393
1.125,,-1.53058437063,764.748077393
1.1275,,-1.65524813005,764.748077393
1.13,,-1.69260793176,553.108520508
1.1325,,-1.50580892318,449.891204834
1.135,,-1.28754902893,440.20980835
1.1375,,-1.30603229925,443.006134033
1.14,,-1.45586476719,445.050506592
1.1425,,-1.54946090202,444.862518311
1.145,,-1.62418050546,443.746337891
1.1475,,-1.68041683857,459.396362305
1.15,,-1.73625991061,472.990264893
1.1525,,-1.79249624372,481.003265381
1.155,,-1.80508059799,505.594482422
1.1575,,-1.81766495225,678.860931396
1.16,,-1.63047268259,764.748077393
1.1625,,-1.64895595291,764.748077393
1.165,,-1.60569723514,764.748077393
1.1675,,-1.48693239178,764.748077393
1.17,,-1.33120100778,764.748077393
1.1725,,-1.32490883065,764.748077393
1.175,,-1.32490883065,764.748077393
1.1775,,-1.43108931974,764.748077393
1.18,,-1.49951674604,764.748077393
1.1825,,-1.51210110031,764.748077393
1.185,,-1.45586476719,764.748077393
1.1875,,-1.47474129859,764.748077393
1.19,,-1.57423634948,677.744750977
1.1925,,-1.68041683857,483.987579346
1.195,,-1.58682070374,435.733337402
1.1975,,-1.66783248431,432.572784424
1.2,,-1.81766495225,445.614471436
1.2025,,-1.84873257684,437.413482666
1.205,,-1.73036099455,436.485290527
1.2075,,-1.79249624372,445.614471436
1.21,,-1.91086782601,468.337554932
1.2125,,-1.74884426488,475.598602295
1.215,,-1.87350802429,479.334869385
1.2175,,-1.84873257684,556.269073486
1.22,,-1.7740129734,764.748077393
1.2225,,-1.67412466144,764.748077393
1.225,,-1.82985604544,764.748077393
1.2275,,-1.64895595291,764.748077393
1.23,,-1.56794417235,764.748077393
1.2325,,-1.77991188946,764.748077393
1.235,,-1.58682070374,764.748077393
1.2375,,-1.56794417235,764.748077393
1.24,,-1.56794417235,764.748077393
1.2425,,-1.80508059799,764.748077393
1.245,,-1.70519228603,764.748077393
1.2475,,-1.6867090157,764.748077393
1.25,,-1.6989001089,606.391448975
1.2525,,-1.74884426488,462.744903564
1.255,,-1.48064021465,439.833831787
1.2575,,-1.6115961512,434.24118042
1.26,,-1.59311288087,441.513977051
1.2625,,-1.61788832833,437.601470947
1.265,,-1.61788832833,437.225494385
1.2675,,-1.3496842781,450.079193115
1.27,,-1.54946090202,474.482421875
1.2725,,-1.599405058,482.119445801
1.275,,-1.59311288087,495.913085938
1.2775,,-1.51210110031,608.999786377
1.28,,-1.59311288087,764.748077393
1.2825,,-1.53687654776,764.748077393
1.285,,-1.71777664029,764.748077393
1.2875,,-1.74884426488,764.748077393
1.29,,-1.73036099455,764.748077393
1.2925,,-1.39962843408,764.748077393
1.295,,-1.48064021465,764.748077393
1.2975,,-1.29384120606,764.748077393
1.3,,-1.45586476719,764.748077393
1.3025,,-1.56794417235,764.748077393
1.305,,-1.54946090202,764.748077393
1.3075,,-1.62418050546,764.748077393
1.31,,-1.66783248431,578.251953125
1.3125,,-1.68041683857,453.251495361
1.315,,-1.56794417235,439.09362793
1.3175,,-1.72406881742,429.588470459
1.32,,-1.82985604544,440.021820068
1.3225,,-1.84873257684,431.632843018
1.325,,-1.53687654776,437.225494385
1.3275,,-1.54316872489,448.963012695
1.33,,-1.48064021465,467.221374512
1.3325,,-1.58682070374,475.422363281
1.335,,-1.6115961512,486.219940186
1.3375,,-1.45586476719,600.234832764
1.34,,-1.44328041293,764.748077393
1.3425,,-1.42479714261,764.748077393
1.345,,-1.58052852661,764.748077393
1.3475,,-1.73036099455,764.748077393
1.35,,-1.61788832833,764.748077393
1.3525,,-1.4369882358,764.748077393
1.355,,-1.33120100778,764.748077393
1.3575,,-1.43108931974,764.748077393
1.36,,-1.53058437063,764.748077393
1.3625,,-1.56794417235,764.748077393
1.365,,-1.37485298663,764.748077393
1.3675,,-1.41850496548,764.748077393
1.37,,-1.4369882358,497.217254639
1.3725,,-1.46844912146,436.485290527
1.375,,-1.68041683857,428.836517334
1.3775,,-1.85502475397,434.053192139
1.38,,-1.73036099455,430.328674316
1.3825,,-1.49322456891,433.688964844
1.385,,-1.55575307916,437.037506104
1.3875,,-1.65524813005,455.671844482
